Qty,Value,Device,Package,Parts,Description
2,,PINHD-1X1,1X01,JP1 + JP2,PIN HEADER
1,0R1,0R1,S3,R2,S3-0R1F1
1,100k,R-EU_R0603,R0603,R3,RESISTOR + European symbol
4,100n,C-EUC0603K,C0603K,C2 + C3 + C5 + C6,CAPACITOR + European symbol
2,10k,R-EU_R0603,R0603,R20 + R21,RESISTOR + European symbol
3,150,R-EU_R0603,R0603,R1 + R12 + R13,RESISTOR + European symbol
1,180k,R-EU_R0603,R0603,R11,RESISTOR + European symbol
2,18k,R-EU_R0603,R0603,R7 + R8,RESISTOR + European symbol
1,1n,C-EUC0603K,C0603K,C4,CAPACITOR + European symbol
1,1u,C-EUC0603K,C0603K,C7,CAPACITOR + European symbol
3,20k,R-EU_R0603,R0603,R4 + R9 + R10,RESISTOR + European symbol
1,22n,C-EUC0603K,C0603K,C1,CAPACITOR + European symbol
1,2k,R-EU_R0603,R0603,R6,RESISTOR + European symbol
1,2k2,R-EU_R0603,R0603,R5,RESISTOR + European symbol
1,AD8608ARZ,AD8608R,SO14,IC1,Precision + Low Noise + CMOS + Rail-to-Rail + Input/Output Operational Amplifiers
1,ARDUINONANO,ARDUINONANO,ARDUINONANO,U1,
1,ED350/2,ED350/2,ED350/2,X1,ED350/X (5.0 mm) TERMINAL BLOCK 5MM VERT 2POS PCB
1,IRLZ44Z,IRLZ44Z,TO220BV,Q1,N-Channel HEXFET® Power MOSFET Logic Level
1,MCP4725,MCP4725,SOT-23-6,U2,12-Bit Digital-to-Analog Converter with EEPROM Memory
1,SK129,SK129,SK129-HOLE,KK2,HEATSINK manufacturer Fischer/distributor Buerklin
